text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
@djnrrd Sorry to hear this. Did something happen to the order? Did the agent bring this situation to the carrier? ^MC,FALSE,0,djnrrd,05-07-2016 15:12,FALSE,7.50341E+17,7.50346E+17,46646278,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@sonijignesh007 please let' s know if we've missed it? Also, please don?t provide your order details. We consider it(3/4) ^KH",FALSE,0,sonijignesh007,05-07-2016 15:11,FALSE,7.50337E+17,7.50346E+17,518350895,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@sonijignesh007 personal information. Our Twitter page is visible to public. (4/4) ^KH,FALSE,0,sonijignesh007,05-07-2016 15:11,FALSE,7.50337E+17,7.50346E+17,518350895,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@sonijignesh007 courier hub and hence, the tracking update. We dispatch orders to meet the Estimated Delivery Date. Could you (2/4) ^KH",FALSE,0,sonijignesh007,05-07-2016 15:10,FALSE,7.50337E+17,7.50346E+17,518350895,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@sonijignesh007 Hi there, my apologies. The tracking would be updated when the package arrives and when the package leaves the (1/4) ^KH",FALSE,0,sonijignesh007,05-07-2016 15:10,FALSE,7.50337E+17,7.50346E+17,518350895,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@RoboWHU Certainly. Please reach out to us here: https://t.co/JzP7hlA23B. ^MC,FALSE,0,RoboWHU,05-07-2016 15:09,FALSE,7.5034E+17,7.50346E+17,2722020892,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@Imperfect_Karan Hi! Apologies for the inconvenience. We'd like to look into this, please reach out to us here: https://t.co/vlvfJr4nN9 ^SG",FALSE,0,Imperfect_Karan,05-07-2016 15:09,FALSE,7.50342E+17,7.50346E+17,60319328,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@Henderburn Happy to hear it arrived! Please let us know if you continue to have trouble. We'll be happy to look into it. ^LI,FALSE,0,Henderburn,05-07-2016 15:09,FALSE,7.5034E+17,7.50346E+17,44685373,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@queenjoanne92 Sorry to hear this. Please reach out to us here: https://t.co/JzP7hlA23B. ^MC,FALSE,0,queenjoanne92,05-07-2016 15:05,FALSE,7.50339E+17,7.50345E+17,1275695376,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@LynseyJPledger Sorry to hear about the delivery trouble with your order. Which carrier is delivering it: https://t.co/aaDyEz1VgE? ^LI,FALSE,0,LynseyJPledger,05-07-2016 15:05,FALSE,7.50339E+17,7.50345E+17,214101580,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@sharyn_tilda That's odd! Are you seeing an error message when attempting to add the address? If so, what does it say? ^KL",FALSE,0,sharyn_tilda,05-07-2016 15:04,FALSE,7.50338E+17,7.50345E+17,4901708283,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@innsidetrack Who is the courier for your order: https://t.co/aaDyEz1VgE? Have they been contacted? ^ME,FALSE,0,innsidetrack,05-07-2016 15:04,FALSE,7.5034E+17,7.50345E+17,1247429875,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@NathanPlastic We ship through a variety of carriers. We ship to meet the delivery dates provided at checkout. ^LP,FALSE,1,NathanPlastic,05-07-2016 15:04,FALSE,7.5034E+17,7.50345E+17,28496085,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@mattr0den Hmm.. will the Kitty be as impressed once it arrives? ^LP,FALSE,0,mattr0den,05-07-2016 15:02,FALSE,7.50338E+17,7.50344E+17,1408246904,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,1,FALSE,FALSE,NA,NA
@egtobias I'm sorry it's not resolved. Pls check if an email was sent with an update. Does the tracking show they've been delivered? ^MG,FALSE,0,egtobias,05-07-2016 14:59,FALSE,7.50339E+17,7.50343E+17,15246664,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
